order_date,product_id,category,quantity,revenue,unit_cost,margin,margin_rate,client_id,country,channel
2024-04-13,Bea-854834,Beauty,1,423.17,257.08,166.09,39.25,C-91149766,Belgium,Social Media
2025-01-26,Jew-705198,Jewelry,15,44.4,31.22,13.18,29.68,C-40333132,Netherlands,Marketplace
2024-12-19,Hea-098104,Health,16,354.94,185.38,169.56,47.77,C-24853651,Netherlands,Phone
2022-08-18,Off-985107,Office,10,328.9,191.47,137.43,41.78,C-25305284,Netherlands,Social Media
2023-01-20,Ele-022291,Electronics,10,436.9,328.65,108.25,24.78,C-37064939,Mexico,Web
2022-06-08,Aut-290641,Automotive,17,125.85,89.6,36.25,28.8,C-58479568,Norway,Marketplace
2024-04-03,Jew-377279,Jewelry,17,227.8,162.75,65.05,28.56,C-36370257,Spain,Social Media
2023-04-16,Aut-818401,Automotive,2,463.28,340.65,122.63,26.47,C-57398717,Norway,Social Media
2022-07-27,Spo-763622,Sports,9,331.7,184.81,146.89,44.28,C-88967135,France,Store
2022-06-23,Ele-173156,Electronics,4,197.44,142.81,54.63,27.67,C-00785431,Austria,Social Media
2025-01-09,Bea-490210,Beauty,7,70.05,39.22,30.83,44.01,C-62568079,Japan,Web
2024-11-07,Hea-409893,Health,5,134.93,78.26,56.67,42.0,C-45182742,Sweden,Web
2024-10-13,Tra-554533,Travel,19,292.7,150.28,142.42,48.66,C-06963273,Norway,Social Media
2023-12-09,Hea-577600,Health,4,360.49,180.36,180.13,49.97,C-38384787,Brazil,Marketplace
2025-08-07,Boo-690674,Books,18,66.59,27.8,38.79,58.25,C-53453227,Spain,Store
2025-10-15,Hea-008267,Health,3,301.8,162.93,138.87,46.01,C-14937270,Switzerland,Marketplace
2025-07-26,Mus-564100,Music,4,277.42,147.37,130.05,46.88,C-03018434,Norway,Social Media
2024-09-01,Toy-396991,Toys,14,259.41,138.75,120.66,46.51,C-30319793,Switzerland,Web
2023-02-01,Tra-911994,Travel,14,346.61,166.43,180.18,51.98,C-19170576,Poland,App
2024-08-31,Foo-863356,Food,17,419.54,216.28,203.26,48.45,C-35609087,United Kingdom,Store
2024-02-05,Off-731162,Office,9,164.88,100.77,64.11,38.88,C-51478804,Brazil,Phone
2025-03-11,Clo-194150,Clothing,19,445.06,234.39,210.67,47.34,C-50369419,Sweden,Marketplace
2023-11-08,Bea-550163,Beauty,3,84.51,49.0,35.51,42.02,C-60214032,Switzerland,Web
2023-06-01,Ele-620091,Electronics,15,90.65,66.68,23.97,26.44,C-63038086,Portugal,Marketplace
2025-06-28,Toy-256679,Toys,1,137.05,63.88,73.17,53.39,C-84224210,Spain,Social Media
2023-10-24,Bea-512082,Beauty,19,64.17,32.57,31.6,49.24,C-49996663,Sweden,Email
2025-06-14,Ele-834021,Electronics,4,119.01,89.92,29.09,24.44,C-34832593,Belgium,Marketplace
2025-03-01,Off-789966,Office,14,57.67,28.99,28.68,49.73,C-48088519,Denmark,Store
2022-11-02,Fur-985093,Furniture,18,411.77,203.61,208.16,50.55,C-51519582,Canada,App
2022-12-24,Fur-170952,Furniture,12,73.79,39.01,34.78,47.13,C-83275937,Switzerland,App
2025-08-01,Aut-935587,Automotive,6,374.91,256.57,118.34,31.56,C-40198582,United Kingdom,Social Media
2025-08-09,Bea-061807,Beauty,10,28.72,16.09,12.63,43.98,C-47893692,United Kingdom,Store
2025-04-01,Fur-838102,Furniture,4,474.52,236.43,238.09,50.17,C-23784180,Mexico,App
2023-02-23,Mus-861897,Music,16,357.02,167.44,189.58,53.1,C-62996511,Denmark,Web
2023-10-04,Tra-841152,Travel,1,8.36,4.62,3.74,44.74,C-49269738,Italy,Marketplace
2023-05-22,Ele-173962,Electronics,3,383.11,292.17,90.94,23.74,C-96989572,Mexico,Social Media
2025-10-17,Aut-432816,Automotive,7,259.47,188.0,71.47,27.54,C-49384009,Brazil,Web
2022-11-08,Hea-172401,Health,3,390.79,188.7,202.09,51.71,C-38156171,Poland,Social Media
2023-12-05,Ele-359763,Electronics,15,263.64,200.87,62.77,23.81,C-60214032,Japan,Store
2022-09-02,Aut-528027,Automotive,6,322.31,224.45,97.86,30.36,C-10807622,Spain,Social Media
2023-04-22,Off-938261,Office,16,394.23,201.04,193.19,49.0,C-79377345,Portugal,Phone
2023-09-07,Bea-295251,Beauty,17,205.53,123.24,82.29,40.04,C-51519582,Austria,App
2023-03-12,Off-920366,Office,2,6.34,3.92,2.42,38.17,C-15498051,United States,Store
2022-09-07,Tra-606821,Travel,10,425.72,217.06,208.66,49.01,C-37577776,Mexico,Email
2024-11-11,Tra-017487,Travel,11,193.54,88.12,105.42,54.47,C-52592154,Portugal,Social Media
2023-04-22,Toy-814785,Toys,6,250.54,141.41,109.13,43.56,C-69293751,Italy,Web
2023-05-26,Off-533272,Office,18,8.84,4.5,4.34,49.1,C-68244574,Sweden,Store
2025-09-21,Boo-809562,Books,15,248.59,131.78,116.81,46.99,C-67273310,Germany,Email
2024-02-13,Hea-598082,Health,16,493.31,258.92,234.39,47.51,C-14937270,Portugal,Email
2025-09-27,Jew-995542,Jewelry,13,142.74,105.13,37.61,26.35,C-71792763,Belgium,Store
2025-09-23,Off-692639,Office,16,200.73,114.53,86.2,42.94,C-35116219,Japan,Social Media
2024-07-12,Toy-564368,Toys,2,345.16,198.27,146.89,42.56,C-28304596,Sweden,Social Media
2024-12-01,Spo-274983,Sports,12,408.32,260.03,148.29,36.32,C-65359151,Denmark,Phone
2022-03-15,Mus-749267,Music,14,211.61,102.81,108.8,51.42,C-64359100,Poland,Email
2024-03-19,Ele-709917,Electronics,8,158.29,121.82,36.47,23.04,C-64976490,Portugal,Store
2024-04-10,Tra-361018,Travel,6,469.22,246.55,222.67,47.46,C-05606972,Australia,Marketplace
2024-11-11,Spo-827931,Sports,14,340.19,207.57,132.62,38.98,C-20753265,Brazil,Marketplace
2022-08-08,Toy-392238,Toys,15,63.92,35.66,28.26,44.21,C-96989572,France,App
2022-03-20,Aut-398572,Automotive,3,39.12,26.74,12.38,31.65,C-26550289,United Kingdom,Store
2022-08-23,Jew-082036,Jewelry,7,244.36,179.01,65.35,26.74,C-15114461,Austria,Phone
2022-06-06,Hea-862358,Health,16,113.94,68.85,45.09,39.57,C-41465877,Japan,Marketplace
2022-11-23,Hea-291922,Health,2,130.72,78.81,51.91,39.71,C-53161780,Germany,Phone
2025-02-11,Hea-629816,Health,17,439.46,207.24,232.22,52.84,C-41162591,Portugal,Web
2023-10-04,Mus-325336,Music,11,49.34,22.11,27.23,55.19,C-58474864,Australia,Store
2023-09-13,Jew-183255,Jewelry,3,359.11,287.06,72.05,20.06,C-23693837,Sweden,Marketplace
2024-09-11,Mus-609664,Music,8,139.22,68.08,71.14,51.1,C-26515381,Poland,Phone
2025-07-22,Tra-128219,Travel,19,381.36,200.01,181.35,47.55,C-00366258,Belgium,Social Media
2025-11-05,Mus-554268,Music,18,362.59,160.74,201.85,55.67,C-37051546,France,Web
2024-11-09,Clo-166891,Clothing,7,8.66,5.49,3.17,36.61,C-51246237,Austria,App
2025-05-17,Jew-014065,Jewelry,16,257.02,185.86,71.16,27.69,C-72242279,Germany,Marketplace
2023-08-29,Boo-911793,Books,14,73.96,31.69,42.27,57.15,C-55808616,Australia,Social Media
2024-05-13,Jew-796991,Jewelry,8,433.78,313.54,120.24,27.72,C-27196768,Belgium,Web
2024-01-19,Toy-648802,Toys,13,436.44,248.57,187.87,43.05,C-04097034,Canada,Web
2025-03-29,Clo-073969,Clothing,3,212.08,128.4,83.68,39.46,C-24994480,Sweden,App
2024-07-03,Hea-139728,Health,2,224.98,129.95,95.03,42.24,C-45261324,Portugal,Email
2024-06-17,Toy-043210,Toys,13,155.13,77.41,77.72,50.1,C-34937025,Belgium,Phone
2024-09-24,Toy-717348,Toys,3,359.72,204.39,155.33,43.18,C-04097034,Spain,Email
2024-05-09,Tra-555765,Travel,1,182.54,100.88,81.66,44.74,C-76954347,Norway,Social Media
2023-07-27,Gar-505276,Garden,2,137.56,77.73,59.83,43.49,C-90541205,Belgium,Marketplace
2022-02-07,Foo-630399,Food,10,218.95,130.42,88.53,40.43,C-28315599,Canada,Store
2022-04-28,Clo-498822,Clothing,11,50.29,27.91,22.38,44.5,C-94070452,Switzerland,Web
2023-01-25,Toy-029529,Toys,3,374.57,198.31,176.26,47.06,C-29619413,Portugal,Marketplace
2023-11-11,Foo-280406,Food,8,11.24,6.59,4.65,41.37,C-10361116,Sweden,Store
2023-01-12,Foo-327231,Food,15,324.02,184.25,139.77,43.14,C-62286818,Sweden,Email
2024-04-28,Clo-693009,Clothing,5,95.52,55.83,39.69,41.55,C-45182742,Italy,Marketplace
2023-01-11,Gar-447004,Garden,8,120.04,56.5,63.54,52.93,C-96989572,Netherlands,Marketplace
2023-08-18,Spo-051686,Sports,18,319.64,193.34,126.3,39.51,C-59063277,United States,Web
2024-01-17,Aut-173937,Automotive,18,496.51,363.77,132.74,26.73,C-46133320,United States,Web
2024-12-01,Boo-429793,Books,12,389.97,166.76,223.21,57.24,C-55524227,Austria,Marketplace
2023-04-03,Aut-860731,Automotive,4,116.79,89.72,27.07,23.18,C-64359100,Brazil,Marketplace
2025-02-27,Jew-742885,Jewelry,8,92.13,67.65,24.48,26.57,C-38625489,Brazil,Email
2024-11-17,Hea-220725,Health,2,433.79,227.41,206.38,47.58,C-38156171,United States,App
2024-01-11,Boo-195399,Books,3,224.87,112.63,112.24,49.91,C-36956215,Italy,Store
2023-09-21,Jew-715412,Jewelry,8,72.84,54.55,18.29,25.11,C-36670530,France,Social Media
2022-11-22,Toy-899476,Toys,12,431.79,199.32,232.47,53.84,C-08506429,Italy,Social Media
2023-09-11,Hea-036409,Health,2,408.97,214.4,194.57,47.58,C-10235413,Sweden,App
2022-11-21,Ele-159152,Electronics,17,492.03,349.07,142.96,29.06,C-54711574,Belgium,Email
2025-03-29,Clo-683555,Clothing,14,455.32,240.69,214.63,47.14,C-61449721,Norway,Marketplace
2023-05-31,Boo-721552,Books,14,426.64,171.12,255.52,59.89,C-89670350,Canada,Marketplace
2024-01-16,Boo-670969,Books,6,31.02,13.25,17.77,57.29,C-64670898,Poland,App
2025-07-01,Off-543823,Office,8,56.69,30.78,25.91,45.7,C-52887037,Switzerland,Social Media
2022-09-05,Toy-648116,Toys,10,286.65,149.05,137.6,48.0,C-82393409,Japan,Web
2025-10-08,Spo-921614,Sports,18,268.08,171.44,96.64,36.05,C-72683595,Norway,Web
2023-02-02,Foo-895950,Food,1,231.69,123.04,108.65,46.89,C-53053106,France,Email
2023-08-05,Hea-924711,Health,7,201.41,114.56,86.85,43.12,C-11497390,Spain,Marketplace
2022-07-22,Toy-717904,Toys,7,218.45,108.46,109.99,50.35,C-07524093,Australia,Store
2025-08-18,Fur-048637,Furniture,13,286.8,167.84,118.96,41.48,C-82800732,Switzerland,Social Media
2025-03-17,Gar-950578,Garden,16,6.03,3.3,2.73,45.27,C-45182742,Germany,Phone
2022-08-09,Foo-172736,Food,12,134.05,69.57,64.48,48.1,C-88377676,Canada,Store
2024-05-16,Clo-217484,Clothing,19,261.55,138.38,123.17,47.09,C-68244574,Poland,Marketplace
2022-09-20,Foo-598693,Food,6,362.5,179.63,182.87,50.45,C-04328131,Germany,Email
2022-10-23,Spo-568160,Sports,7,91.21,54.79,36.42,39.93,C-25677245,Belgium,Email
2025-08-31,Tra-274329,Travel,17,275.71,139.34,136.37,49.46,C-18860816,Spain,Social Media
2024-10-16,Off-523467,Office,19,358.66,220.8,137.86,38.44,C-81701957,Austria,Web
2022-10-19,Foo-893138,Food,5,225.09,109.22,115.87,51.48,C-23693837,Japan,Email
2023-11-15,Clo-938382,Clothing,3,18.41,9.41,9.0,48.89,C-71771991,Denmark,Phone
2024-05-25,Spo-787828,Sports,18,227.39,135.66,91.73,40.34,C-29059731,United Kingdom,Web
2024-11-20,Aut-789892,Automotive,17,151.74,116.63,35.11,23.14,C-89120419,United Kingdom,Email
2024-12-03,Boo-364801,Books,11,465.18,211.52,253.66,54.53,C-96989572,Japan,Store
2023-07-09,Tra-182386,Travel,9,66.68,35.62,31.06,46.58,C-97634667,France,Social Media
2025-03-03,Off-962893,Office,17,327.98,173.86,154.12,46.99,C-06963273,Switzerland,Email
2022-12-15,Boo-007676,Books,19,31.1,15.05,16.05,51.61,C-77507367,Italy,Phone
2022-08-07,Gar-037312,Garden,13,225.85,128.77,97.08,42.98,C-53453227,Spain,Marketplace
2024-10-19,Jew-134220,Jewelry,6,279.22,219.66,59.56,21.33,C-18975970,United Kingdom,App
2023-03-26,Tra-667632,Travel,4,152.49,70.7,81.79,53.64,C-94814589,Brazil,Email
2023-05-19,Tra-197435,Travel,18,230.26,114.28,115.98,50.37,C-33999881,Switzerland,Email
2022-03-27,Aut-526943,Automotive,12,85.96,63.95,22.01,25.6,C-89655900,United States,Email
2025-06-28,Aut-960609,Automotive,4,155.54,106.31,49.23,31.65,C-62155163,Brazil,Email
2025-07-12,Hea-842295,Health,5,312.45,177.06,135.39,43.33,C-12333049,France,App
2023-06-07,Mus-585333,Music,12,154.39,76.26,78.13,50.61,C-51478804,Japan,Phone
2025-01-08,Foo-307661,Food,18,450.37,222.16,228.21,50.67,C-37260085,Belgium,Phone
2023-04-06,Tra-074227,Travel,17,316.06,175.7,140.36,44.41,C-62568079,United Kingdom,App
2024-10-10,Boo-436854,Books,10,222.13,98.52,123.61,55.65,C-67412814,Mexico,Email
2023-09-22,Clo-861221,Clothing,6,24.18,15.69,8.49,35.11,C-83055979,Norway,Marketplace
2022-09-09,Bea-466277,Beauty,17,252.28,157.03,95.25,37.76,C-94814589,Portugal,Phone
2022-01-18,Mus-210161,Music,8,383.56,199.11,184.45,48.09,C-94814589,Germany,App
2025-07-03,Bea-054322,Beauty,2,136.45,69.48,66.97,49.08,C-50731835,Norway,Phone
2025-06-22,Off-888232,Office,12,404.35,249.71,154.64,38.24,C-97634667,Japan,Store
2025-03-22,Spo-382926,Sports,3,129.64,80.73,48.91,37.73,C-06400752,Poland,Web
2023-05-15,Boo-397438,Books,7,412.75,179.28,233.47,56.56,C-77507367,Austria,App
2023-04-03,Boo-575429,Books,1,47.21,21.66,25.55,54.12,C-06963273,Germany,Web
2022-04-25,Mus-535004,Music,17,433.76,198.49,235.27,54.24,C-51948660,Australia,Email
2024-01-23,Tra-060644,Travel,8,252.1,145.71,106.39,42.2,C-70308475,Mexico,Email
2024-02-08,Gar-649938,Garden,10,151.79,87.98,63.81,42.04,C-67768574,Poland,Store
2023-03-23,Mus-874931,Music,17,136.23,74.96,61.27,44.98,C-30079209,Belgium,Social Media
2022-12-19,Bea-742784,Beauty,16,218.85,135.32,83.53,38.17,C-29902571,Canada,Phone
2023-09-17,Mus-725076,Music,10,499.53,241.72,257.81,51.61,C-56265405,Germany,Email
2023-06-25,Boo-656742,Books,15,114.06,49.14,64.92,56.92,C-66252527,Poland,Social Media
2022-11-18,Gar-455441,Garden,16,56.09,27.44,28.65,51.08,C-20993421,Australia,Marketplace
2022-08-14,Foo-210970,Food,18,294.59,139.27,155.32,52.72,C-88080904,France,Web
2022-12-27,Fur-981851,Furniture,4,246.83,137.37,109.46,44.35,C-83828724,Portugal,Marketplace
2024-04-13,Hea-659527,Health,7,264.48,158.37,106.11,40.12,C-15874792,Italy,App
2022-04-22,Ele-248926,Electronics,12,335.13,267.83,67.3,20.08,C-12333049,Portugal,Marketplace
2022-07-31,Aut-117323,Automotive,12,137.24,97.27,39.97,29.12,C-18788930,Mexico,Email
2025-06-10,Mus-365993,Music,1,455.78,235.92,219.86,48.24,C-98150790,Austria,Store
2024-08-05,Off-451589,Office,12,220.66,127.46,93.2,42.24,C-09005290,Netherlands,Marketplace
2022-06-08,Jew-751183,Jewelry,7,68.9,51.6,17.3,25.11,C-37128076,Japan,Email
2023-07-26,Spo-081117,Sports,15,372.44,225.9,146.54,39.35,C-53453227,Italy,App
2025-09-09,Fur-616018,Furniture,2,323.34,172.01,151.33,46.8,C-79560171,Norway,App
2025-01-21,Hea-966225,Health,1,161.29,97.13,64.16,39.78,C-20756941,Canada,Store
2025-06-25,Hea-159895,Health,4,312.65,177.82,134.83,43.12,C-24208719,United Kingdom,Web
2023-11-01,Hea-585260,Health,8,113.83,65.52,48.31,42.44,C-00785431,United Kingdom,Social Media
2025-03-10,Hea-599251,Health,17,225.2,113.49,111.71,49.6,C-75340146,Australia,Store
2024-06-29,Bea-993862,Beauty,18,450.21,236.49,213.72,47.47,C-73002312,Austria,Social Media
2024-10-19,Off-578822,Office,5,71.1,39.19,31.91,44.88,C-59159872,Norway,Store
2023-02-08,Off-429967,Office,6,196.41,117.78,78.63,40.03,C-28304596,Brazil,Store
2023-02-08,Gar-902525,Garden,12,411.47,243.36,168.11,40.86,C-91614222,United States,Marketplace
2023-08-24,Aut-286265,Automotive,16,484.9,350.45,134.45,27.73,C-07996478,Australia,Marketplace
2025-12-08,Boo-596024,Books,9,229.69,118.55,111.14,48.39,C-61199858,Mexico,Marketplace
2025-06-10,Hea-735657,Health,15,255.96,137.16,118.8,46.41,C-10064712,Switzerland,Store
2022-07-12,Jew-677486,Jewelry,8,288.23,210.27,77.96,27.05,C-51478804,France,Marketplace
2025-01-27,Boo-061581,Books,12,466.51,238.34,228.17,48.91,C-62155163,France,Email
2025-02-10,Off-743991,Office,14,429.81,259.5,170.31,39.62,C-18788930,Australia,Store
2025-07-28,Clo-288267,Clothing,17,89.45,47.45,42.0,46.95,C-42855881,Japan,Marketplace
2024-09-26,Clo-575324,Clothing,14,221.2,120.73,100.47,45.42,C-86518759,Australia,Social Media
2023-06-07,Jew-392206,Jewelry,5,234.68,175.89,58.79,25.05,C-80211462,Poland,Web
2022-12-16,Gar-865287,Garden,13,395.6,192.31,203.29,51.39,C-67412814,Netherlands,Marketplace
2022-11-12,Off-670950,Office,6,303.43,188.35,115.08,37.93,C-38384787,Belgium,App
2024-07-31,Jew-963769,Jewelry,14,328.84,249.63,79.21,24.09,C-17061425,Australia,Email
2024-07-01,Bea-709684,Beauty,6,499.11,258.63,240.48,48.18,C-30009364,United States,Web
2023-10-14,Mus-723080,Music,3,42.11,18.77,23.34,55.43,C-39866633,France,App
2023-09-27,Jew-546989,Jewelry,16,115.39,91.79,23.6,20.45,C-93714133,Denmark,Web
2024-10-07,Foo-727899,Food,12,206.91,116.02,90.89,43.93,C-92794892,Norway,Marketplace
2025-12-30,Boo-827610,Books,14,177.15,90.37,86.78,48.99,C-15180327,France,Phone
2023-08-16,Fur-630022,Furniture,2,15.71,7.7,8.01,50.99,C-86214823,Denmark,Social Media
2023-03-20,Toy-823550,Toys,18,50.43,28.56,21.87,43.37,C-38195265,United Kingdom,Marketplace
2023-09-13,Gar-025387,Garden,7,342.07,178.6,163.47,47.79,C-96292154,United States,Email
2025-05-16,Jew-057613,Jewelry,5,440.27,337.23,103.04,23.4,C-80623701,France,Phone
2024-01-26,Off-308810,Office,12,259.54,162.15,97.39,37.52,C-12527233,Belgium,Store
2025-07-23,Spo-170207,Sports,17,271.9,144.92,126.98,46.7,C-98150790,Denmark,Phone
2023-05-12,Clo-553842,Clothing,12,131.27,75.13,56.14,42.77,C-46702549,Australia,Phone
2024-02-12,Foo-905819,Food,11,385.1,176.16,208.94,54.26,C-99169652,Brazil,App
2025-08-13,Aut-224389,Automotive,1,377.14,275.3,101.84,27.0,C-46601117,Austria,Web
2023-01-09,Hea-042146,Health,9,296.24,149.69,146.55,49.47,C-27231292,United States,Social Media
2022-07-03,Toy-100037,Toys,8,110.27,62.68,47.59,43.16,C-10560190,Australia,App
2022-02-01,Tra-406204,Travel,14,53.02,26.61,26.41,49.81,C-85938858,Austria,Social Media
2022-10-10,Gar-707479,Garden,4,36.8,20.19,16.61,45.14,C-35609087,Sweden,App
2024-04-15,Fur-278600,Furniture,11,298.38,179.16,119.22,39.96,C-09630102,Switzerland,Marketplace
2024-05-22,Toy-906113,Toys,17,413.39,238.89,174.5,42.21,C-07951599,Germany,Phone
2025-12-26,Jew-497637,Jewelry,8,429.87,322.57,107.3,24.96,C-15114461,Mexico,Email
2023-11-17,Bea-909005,Beauty,1,234.49,133.28,101.21,43.16,C-08836017,Portugal,Store
2023-04-07,Clo-725938,Clothing,18,393.21,201.07,192.14,48.86,C-65161812,Spain,App
2024-05-20,Off-946718,Office,5,473.71,237.64,236.07,49.83,C-10235413,Italy,Phone
2024-09-10,Clo-204669,Clothing,8,141.21,83.5,57.71,40.87,C-33068412,Canada,Social Media
2023-01-03,Aut-847837,Automotive,8,201.99,138.68,63.31,31.34,C-10606874,Germany,Marketplace
2023-10-20,Bea-928538,Beauty,9,466.08,259.63,206.45,44.29,C-83177447,Sweden,Phone
2025-06-29,Hea-742883,Health,18,172.42,81.12,91.3,52.95,C-07999103,Portugal,Web
2022-06-15,Off-787309,Office,7,457.37,265.27,192.1,42.0,C-07437810,Denmark,Web
2024-09-26,Boo-491166,Books,10,490.62,227.56,263.06,53.62,C-19241305,Switzerland,Email
2023-08-25,Ele-062718,Electronics,16,332.6,237.04,95.56,28.73,C-01547198,Belgium,Marketplace
2025-10-26,Foo-844532,Food,3,409.36,202.41,206.95,50.55,C-78080761,Brazil,Phone
2025-01-31,Clo-485993,Clothing,10,376.03,220.15,155.88,41.45,C-28315599,Canada,Email
2023-08-17,Spo-217285,Sports,8,351.27,212.65,138.62,39.46,C-26979236,Poland,Phone
2022-05-06,Clo-533930,Clothing,18,156.93,89.35,67.58,43.06,C-68350413,Switzerland,Web
